"statistic","value"
"n_test_persons",249
"n_items",10
"n_pairs",45
"q3_mean",-0.106245
"q3_reference_neg_1_over_Jm1",-0.111111
"q3_max",0.150905
"q3_min",-0.348941
"n_pairs_abs_above_0.2",11
