"person","item_MR05","item_MR01","item_MR08","item_MR07","item_MR02","item_MR03","item_MR04","item_MR10","item_MR09","item_MR06"
1718,0,1,0,0,1,1,0,0,0,0
1719,0,1,1,0,0,1,1,0,1,1
1720,1,1,1,1,1,1,0,0,1,1
1721,1,1,1,1,1,1,1,0,1,1
1722,1,1,0,0,1,0,0,0,0,1
1723,0,1,0,0,1,0,0,0,0,0
1724,0,1,1,0,0,0,0,0,0,0
1725,0,1,0,0,0,0,0,0,0,0
1726,1,1,0,0,1,1,1,0,1,1
1727,0,1,0,0,0,0,0,0,0,0
1729,0,1,0,0,0,1,1,0,0,0
1730,1,1,1,1,1,1,1,1,1,1
1731,1,1,1,1,1,1,1,0,0,1
1732,1,1,0,0,0,1,1,0,1,0
1733,0,1,1,1,1,1,1,1,1,1
1734,0,1,0,1,0,1,0,0,0,0
1736,1,1,1,1,1,1,1,1,1,0
1737,0,1,0,0,0,0,0,0,0,0
1738,0,1,0,0,0,0,1,0,0,0
1739,1,1,1,1,1,1,1,0,1,1
1740,0,1,0,0,1,0,0,0,0,0
1741,0,1,1,1,1,1,1,0,1,1
1742,0,1,1,1,1,1,1,1,1,1
1743,0,0,0,1,0,1,1,1,1,0
1744,1,1,0,0,0,0,1,0,0,0
1745,0,1,0,0,0,1,1,0,0,0
1746,0,1,1,0,1,0,0,0,0,0
1747,0,0,0,0,0,0,0,0,0,0
1748,1,1,0,1,1,1,1,1,1,1
1749,0,1,1,1,1,1,1,0,1,1
1750,1,1,1,1,1,1,1,1,1,1
1751,0,1,0,0,1,0,0,0,0,0
1752,1,1,1,1,1,1,1,1,1,1
1753,0,1,0,0,0,0,0,0,0,0
1754,1,1,1,1,1,1,1,1,1,1
1755,0,0,0,0,1,0,1,0,0,0
1756,1,1,1,1,1,1,1,1,1,1
1757,1,1,1,0,1,1,1,1,0,1
1758,0,1,0,1,1,1,0,0,0,1
1759,0,1,0,0,0,1,0,0,0,0
1760,1,1,1,1,1,1,1,1,1,1
1761,0,0,0,0,0,0,0,0,0,0
1762,0,1,0,0,0,0,0,0,0,0
1763,0,1,1,1,1,1,1,1,1,1
1765,0,1,0,0,0,0,0,0,0,0
1766,0,1,1,0,1,1,1,0,0,0
1767,0,1,0,0,0,0,0,0,0,0
1768,1,1,1,0,1,1,1,1,1,1
1769,1,1,1,1,1,1,1,1,1,1
1770,0,0,0,0,0,0,0,0,0,0
1771,1,1,1,1,1,1,1,0,1,1
1772,1,1,1,1,1,1,1,0,1,1
